1.801284    0.491069    0	1	2       0.583187    2.614513
1.523913    0.074796    1	1	3       0.277371    0.583187    2.614513
1.523913    0.147235    1	1	2       0.860558    2.614513
1.290591    0.001075    0	1	4       0.233330    0.277371    0.583187    2.614513
1.290591    0.002117    0	1	3       0.233330    0.860558    2.614513
1.290591    0.234734    0	1	3       0.510740    0.583187    2.614513
1.290591    0.004108    0	1	2       1.093951    2.614513
1.079221    0.002839    1	1	4       0.211510    0.510740    0.583187    2.614513
1.079221    0.003462    1	1	3       0.722253    0.583187    2.614513
1.038071    0.008651    0	1	4       0.252755    0.510740    0.583187    2.614513
1.038071    0.022588    0	1	3       0.763430    0.583187    2.614513
0.873721    0.001286    0	0	3       0.927651    0.583187    2.614513
0.818621    0.002051    0	0	3       0.982710    0.583187    2.614513
