# [Name]                 [Latitude]             [Longitude]            [Power]
#Power is thermal power in GW
#This file is prepared by Linyan Wan 
CRUAS-4                 44.633056             4.756667                2.785
DAMPIERRE-1             47.733056             2.516667                2.785
DAMPIERRE-2             47.733056             2.516667                2.785
DAMPIERRE-3             47.733056             2.516667                2.785
DAMPIERRE-4             47.733056             2.516667                2.785
FESSENHEIM-1            47.903108             7.563044                2.785
FESSENHEIM-2            47.903108             7.563044                2.785
FLAMANVILLE-1           49.536389             -1.881667               3.817
FLAMANVILLE-2           49.536389             -1.881667               3.817
FLAMANVILLE-3           49.536389             -1.881667               4.3
GOLFECH-1               44.106667             0.845278                3.817
GOLFECH-2               44.106667             0.845278                3.817
GRAVELINES-1            51.015278             2.136111                2.785
GRAVELINES-2            51.015278             2.136111                2.785
GRAVELINES-3            51.015278             2.136111                2.785
GRAVELINES-4            51.015278             2.136111                2.785
GRAVELINES-5            51.015278             2.136111                2.785
GRAVELINES-6            51.015278             2.136111                2.785
NOGENT-1                48.515278             3.517778                3.817
NOGENT-2                48.515278             3.517778                3.817
PALUEL-1                49.858056             0.635556                3.817
PALUEL-2                49.858056             0.635556                3.817
PALUEL-3                49.858056             0.635556                3.817
PALUEL-4                49.858056             0.635556                3.817
PENLY-1                 49.976667             1.211944                3.817
PENLY-2                 49.976667             1.211944                3.817
ST._ALBAN-1             45.404444             4.755278                3.817
ST._ALBAN-2             45.404444             4.755278                3.817
ST._LAURENT_B-1         47.72                 1.5775                  2.785
ST._LAURENT_B-2         47.72                 1.5775                  2.785
TRICASTIN-1             44.329722             4.732222                2.785
TRICASTIN-2             44.329722             4.732222                2.785
TRICASTIN-3             44.329722             4.732222                2.785
TRICASTIN-4             44.329722             4.732222                2.785
BROKDORF                53.850833             9.344722                3.9
EMSLAND                 52.474231             7.317858                3.85
GRAFENRHEINFELD         49.984086             10.184669               3.765
GROHNDE                 52.035278             9.413333                3.9
GUNDREMMINGEN-B         48.514722             10.402222               3.84
GUNDREMMINGEN-C         48.514722             10.402222               3.84
ISAR-2                  48.605606             12.29315                3.95
NECKARWESTHEIM-2        49.041667             9.175                   3.85
PHILIPPSBURG-2          49.2525               8.436389                3.95
PAKS-1                  46.5725               18.854167               1.485
PAKS-2                  46.5725               18.854167               1.485
PAKS-3                  46.5725               18.854167               1.485
PAKS-4                  46.5725               18.854167               1.485
ANO-1                   35.310278              -93.231389             2.568
ANO-2                   35.310278              -93.231389             3.026
BEAVER_VALLEY-1         39.839167              -75.564167             2.9
BEAVER_VALLEY-2         39.839167              -75.564167             2.9
BRAIDWOOD-1             41.243611              -88.229167             3.587
BRAIDWOOD-2             41.243611              -88.229167             3.587 
BROWNS_FERRY-1          34.703889              -87.118611             3.458
BROWNS_FERRY-2          34.703889              -87.118611             3.458
BROWNS_FERRY-2          34.703889              -87.118611             3.458
BRUNSWICK-1             33.958333              -78.010278             2.923
BRUNSWICK-2             33.958333              -78.010278             2.923
BYRON-1                 42.074167              -89.281944             3.587
BYRON-2                 42.074167              -89.281944             3.587
CALLAWAY-1              38.761667              -91.78                 3.565
CALVERT_CLIFFS-1        38.431944              -76.442222             2.737
CALVERT_CLIFFS-2        38.431944              -76.442222             2.737
CATAWBA-1               35.051667              -81.07                 3.411
CATAWBA-2               35.051667              -81.07                 3.411
CLINTON-1               40.172222              -88.835                3.473
COLUMBIA                46.471111              -119.333889            3.486
COMANCHE_PEAK-1         32.298333              -97.785                3.612
COMANCHE_PEAK-2         32.298333              -97.785                3.612
COOK-1                  41.975391              -86.565914             3.304
COOK-2                  41.975391              -86.565914             3.468
COOPER                  40.361944              -95.641389             2.419
DAVIS_BESSE-1           41.596667              -83.086389             2.817
DIABLO_CANYON-1         35.210833              -120.856111            3.411
DIABLO_CANYON-2         35.210833              -120.856111            3.411
DRESDEN-2               41.389722              -88.268056             2.957
DRESDEN-3               41.389722              -88.268056             2.957
DUANE_ARNOLD-1          42.100556              -91.777222             1.912
FARLEY-1                31.223056              -85.111667             2.775
FARLEY-2                31.223056              -85.111667             2.775
FERMI-2                 41.962778              -83.2575               3.43
FITZPATRICK             43.523333              -76.398333             2.536
FORT_CALHOUN-1          41.520278              -96.077222             1.5
GINNA                   43.277778              -77.31                 1.775
GRAND_GULF-1            32.006667              -91.048333             4.408
HARRIS-1                35.633333              -78.955                2.9
HATCH-1                 31.934167              -82.343889             2.804
HATCH-2                 31.934167              -82.343889             2.804
HOPE_CREEK-1            39.467778              -75.538056             3.84
INDIAN_POINT-2          41.269722              -73.952222             3.216
INDIAN_POINT-3          41.269722              -73.952222             3.216
LASALLE-1               41.245556              -88.669167             3.546
LASALLE-2               41.245556              -88.669167             3.546
LIMERICK-1              40.226667              -75.587222             3.515
LIMERICK-2              40.226667              -75.587222             3.515
MCGUIRE-1               35.4325                -80.948333             3.411
MCGUIRE-2               35.4325                -80.948333             3.411
MILLSTONE-2             41.311944              -72.168611             2.7             
MILLSTONE-3             41.311944              -72.168611             3.65
MONTICELLO              45.333611              -93.849167             1.775
NINE_MILE_POINT-1       43.520833              -76.406944             1.85              
NINE_MILE_POINT-2       43.520833              -76.406944             3.988    
NORTH_ANNA-1            38.060556              -77.789444             2.940  
NORTH_ANNA-2            38.060556              -77.789444             2.940 
OCONEE-1                34.793889              -82.898056             2.568 
OCONEE-2                34.793889              -82.898056             2.568
OCONEE-3                34.793889              -82.898056             2.568
OYSTER_CREEK            39.814722              -74.205                1.93
PALISADES               42.322778              -86.314444             2.565
PALO_VERDE-1            33.389167              -112.865               3.99   
PALO_VERDE-2            33.389167              -112.865               3.99 
PALO_VERDE-3            33.389167              -112.865               3.99 
PEACH_BOTTOM-2          39.758333              -76.268056             3.514   
PEACH_BOTTOM-3          39.758333              -76.268056             3.514 
PERRY-1                 41.800833              -81.143333             3.758
PILGRIM-1               41.945                 -70.578333             2.028
POINT_BEACH-1           44.281111              -87.536667             1.8
POINT_BEACH-2           44.281111              -87.536667             1.8               
PRAIRIE_ISLAND-1        44.621667              -92.633056             1.677
PRAIRIE_ISLAND-2        44.621667              -92.633056             1.677     
QUAD_CITIES-1           41.726389              -90.31                 2.957
QUAD_CITIES-1           41.726389              -90.31                 2.957
RIVER_BEND-1            30.756667              -91.333333             3.091
ROBINSON-2              34.402778              -80.158333             2.339
SALEM-1                 39.462778              -75.535556             3.459
SALEM-2                 39.462778              -75.535556             3.459
SEABROOK-1              42.898889              -70.850833             3.648
SEQUOYAH-1              35.226389              -85.091667             3.455         
SEQUOYAH-2              35.226389              -85.091667             3.455
SOUTH_TEXAS-1           28.795556              -96.048889             3.853
SOUTH_TEXAS-2           28.795556              -96.048889             3.853
ST._LUCIE-1             27.348611              -80.246389             3.02      
ST._LUCIE-2             27.348611              -80.246389             3.02 
SUMMER-1                34.298611              -81.314722             2.9
SUMMER-2                34.298611              -81.314722             3.4
SUMMER-3                34.298611              -81.314722             3.4
SURRY-1                 37.165556              -76.697778             2.857  
SURRY-2                 37.165556              -76.697778             2.857 
SUSQUEHANNA-2           41.088889              -76.148889             3.952
THREE_MILE_ISLAND-1     40.153889              -76.724722             2.568
TURKEY_POINT-3          25.434167              -80.330556             2.644   
TURKEY_POINT-4          25.434167              -80.330556             2.644 
VERMONT_YANKEE          42.778889              -72.513056             1.912
VOGTLE-1                33.143333              -81.760556             3.626
VOGTLE-2                33.143333              -81.760556             3.626
VOGTLE-3                33.143333              -81.760556             3.4
VOGTLE-4                33.143333              -81.760556             3.4
WATERFORD-3             29.995278              -90.471111             3.716
WATTS_BAR-1             35.602778              -84.789444             3.459
WATTS_BAR-2             35.602778              -84.789444             3.425
WOLF_CREEK              38.238889              -95.688889             3.565
ATUCHA-2 		-33.967519				  -59.205119				 1.179
ATUCHA-1 		-33.967519				  -59.205119				 2.160
EMBALSE			-32.232					  -64.443					 2.015
BELARUSIAN-1				54.758333				 	26.091667				 3.200
ANGRA-1					-23.008333				  -44.457222				 1.882
ANGRA-2					-23.008333				  -44.457222				 3.765
ANGRA-3					-23.008333				  -44.457222				 3.765
KAKRAPAR-1			21.238611					73.35						 0.801
KAKRAPAR-2			21.238611					73.35						 0.801
KAKRAPAR-3			21.238611					73.35						 2.166
KAKRAPAR-4			21.238611					73.35						 2.166
KUDANKULAM-1			8.168889						77.7125					 3.000
KUDANKULAM-2			8.168889						77.7125					 3.000
PFBR					12.553056					80.173333				 1.253
RAJASTHAN-1				24.872222					75.613889				 0.346	
RAJASTHAN-2				24.872222					75.613889				 0.693	
RAJASTHAN-3				24.872222					75.613889				 0.801	
RAJASTHAN-4				24.872222					75.613889				 0.801	
RAJASTHAN-5				24.872222					75.613889				 0.801	
RAJASTHAN-6				24.872222					75.613889				 0.801	
RAJASTHAN-7				24.872222					75.613889				 2.177	
RAJASTHAN-8				24.872222					75.613889				 2.177	
HANUL-1					37.092778					129.383611				 2.785
HANUL-2					37.092778					129.383611				 2.775
HANUL-3					37.092778					129.383611				 2.825
HANUL-4					37.092778					129.383611				 2.825
HANUL-5					37.092778					129.383611				 2.825
HANUL-6					37.092778					129.383611				 2.825
SHIN-HANUL-1				37.092778					129.383611				 3.938
SHIN-HANUL-2				37.092778					129.383611				 3.938
KORI-1					35.319904					129.290053				 1.729
KORI-2					35.319904					129.290053				 1.882
KORI-3					35.319904					129.290053				 2.912
KORI-4					35.319904					129.290053				 2.912
SHIN-KORI-1				35.319904					129.290053				 2.825
SHIN-KORI-2				35.319904					129.290053				 2.825
SHIN-KORI-3				35.319904					129.290053				 3.938
SHIN-KORI-4				35.319904					129.290053				 3.938
WOLSONG-1				35.716667					129.477778				 2.061
WOLSONG-2				35.716667					129.477778				 2.061
WOLSONG-3				35.716667					129.477778				 2.061
WOLSONG-4				35.716667					129.477778				 2.061
SHIN-WOLSONG-1				35.716667					129.477778				 2.825
SHIN-WOLSONG-2				35.716667					129.477778				 2.825
KANUPP					32.390278					71.4625					 0.337
