5.0   5.5   0.0   0.1    0.0   0.1    -0.2   0.2
5.5   6.0   0.1   0.0    0.1   -0.1   -0.2   0.2
6.0   6.5   0.1   -0.1   0.2   -0.3   -0.2   0.2
6.5   7.0   0.2   -0.3   0.4   -0.5   -0.2   0.2
7.0   7.5   0.4   -0.4   0.6   -0.7   -0.2   0.2
7.5   8.0   0.5   -0.5   0.9   -0.9   -0.2   0.2
8.0   8.5   0.7   -0.7   1.1   -1.1   -0.2   0.2
8.5   9.0   0.9   -0.9   1.4   -1.4   -0.1   0.1
9.0   9.5   1.1   -1.1   1.8   -1.7   -0.1   0.1
9.5   10.0  1.4   -1.3   2.1   -1.9   0      0
10.0  10.5  1.7   -1.5   2.5   -2.3   0.1    -0.1
10.5  11.0  2.0   -1.8   2.8   -2.6   0.2    -0.3
11.0  11.5  2.3   -2.1   3.2   -3.0   0.4    -0.5
11.5  12.0  2.6   -2.4   3.6   -3.4   0.7    -0.8
12.0  12.5  3.0   -2.7   4.1   -3.8   0.9    -1.1
12.5  13.0  3.3   -3.1   4.5   -4.3   1.3    -1.4
13.0  13.5  3.8   -3.4   5.0   -4.8   1.7    -1.9
13.5  14.0  4.2   -3.8   5.5   -5.4   2.2    -2.4
14.0  15.0  5.0   -4.4   6.3   -6.3   3.1    -3.3
15.0  16.0  6.2   -5.1   7.6   -7.7   4.7    -4.9
16.0  20.0  8.7   -5.6   10.2  -9.9   8.2    -8.1
