3.5   4.0 		0.1452	-0.1670		0.2010	-0.2228   0.1007	-0.1001
4.0   4.5 		0.1792	-0.1777		0.1569	-0.1554   0.0705	-0.0857
4.5   5.0 		0.1796	-0.2107		0.1573	-0.1884   0.0319	-0.0741
5.0   5.5 		0.1913	-0.2214		0.1578	-0.1544   0.0546	-0.0764
5.5   6.0 		0.2141	-0.1986		0.2698	-0.2543   0.0970	-0.0982
6.0   6.5 		0.2703	-0.2427		0.3930	-0.3877   0.0975	-0.0977
6.5   7.0 		0.2820	-0.2645		0.5608	-0.5768   0.0673	-0.0638
7.0   7.5 		0.2824	-0.2863		0.7731	-0.777    0.0482	-0.0605
7.5   8.0 		0.3164	-0.3193		0.9855	-1.0108   0.0654	-0.0684
8.0   8.5 		0.3726	-0.3300 	1.2537	-1.2445   0.0883	-0.0651
8.5   9.0 		0.4177	-0.3741		1.5329	-1.5339   0.0720	-0.0563
9.0   9.5 		0.4628	-0.4405		1.8457	-1.8234   0.0585	-0.0809
9.5   10.0		0.4744	-0.4735		2.2031	-2.191    0.0924	-0.0971
10.0  10.5 		0.5307	-0.5176		2.6050	-2.5585   0.1153	-0.1357
10.5  11.0		0.5758	-0.5395		3.0070	-2.9818   0.1883	-0.1854
11.0  11.5		0.6432	-0.6170 	3.5204	-3.4498   0.2696	-0.2518
11.5  12.0		0.6883	-0.6612		4.0451	-3.9288   0.3676	-0.3657
12.0  12.5		0.7668	-0.7388		4.6479	-4.486    0.4964	-0.4767
12.5  13.0		0.8342	-0.7940 	5.2617	-5.0877   0.6502	-0.6323
13.0  13.5		0.9574	-0.8939		5.9983	-5.7229   0.8347	-0.8159
13.5  14.5  	0.9804	-0.9490		7.0583	-6.7036   1.1616	-1.1441
14.5  20.0	 	1.1375	-1.1041		8.8551	-8.275    1.7174	-1.7035
