#Observed and expected event rates in each energy bin at 1AU. Unit:events/kton/year.
#The errors are statistical only.
#Expected event rates are: 5.25e6 for B8 and 8e3 for hep. Unit:/cm^2/sec. This is different from SK1-SK3.
#The original table use 3.49-3.99, and I change to 3.5-4.0, in order for convenience.
#
#Energy[MeV]                    Observed rate                           Expected rate
#           All                 Day                 Night               B8    hep
3.5		4.0		92.2	10.8	-10.6		96.0	16.8	-16.3		81.5	14.0	-13.6		196.8	0.346
4.0		4.5		76.7	5.2		-5.1		64.6	7.9		-7.6		85.2	6.9		-6.7		182.8	0.335
4.5		5.0		82.1	3.4		-3.3		79.4	5.1		-5.0		84.6	4.6		-4.5		167.8	0.323
5.0		5.5		69.3	2.1		-2.1		65.9	3.1		-3.0		72.5	3.0		-2.9		153.3	0.312
5.5		6.0		59.6	1.6		-1.6		58.3	2.3		-2.2		60.5	2.2		-2.2		137.8	0.298
6.0		6.5		54.2	1.4		-1.4		51.0	2.1		-2.0		56.9	2.0		-2.0		121.9	0.282
6.5		7.0		47.8	1.3		-1.3		45.7	1.9		-1.8		49.9	1.9		-1.8		106.8	0.266
7.0		7.5		40.6	1.2		-1.1		41.8	1.7		-1.7		39.5	1.6		-1.6		92.1	0.250
7.5		8.0		35.7	1.0		-1.0		35.0	1.5		-1.5		36.1	1.5		-1.4		78.0	0.232
8.0		8.5		29.1	0.9		-0.9		28.6	1.3		-1.3		28.9	1.3		-1.2		65.2	0.214
8.5		9.0		24.0	0.8		-0.8		24.1	1.2		-1.1		23.7	1.1		-1.1		53.4	0.197
9.0		9.5		18.5	0.7		-0.7		17.9	1.0		-0.9		19.2	1.0		-0.9		42.9	0.179
9.5		10.0	14.5	0.6		-0.6		14.5	0.9		-0.8		14.4	0.8		-0.8		33.8	0.162
10.0	10.5	10.7	0.5		-0.5		10.2	0.7		-0.7		11.1	0.7		-0.7		26.0	0.144
10.5	11.0	8.43	0.43	-0.41		7.73	0.61	-0.56		9.23	0.64	-0.60		19.55	0.128
11.0	11.5	6.60	0.37	-0.35		6.60	0.54	-0.49		6.72	0.53	-0.49		14.34	0.112
11.5	12.0	4.40	0.30	-0.28		3.83	0.41	-0.37		4.89	0.44	-0.40		10.24	0.097
12.0	12.5	3.04	0.25	-0.23		3.04	0.35	-0.31		3.06	0.36	-0.32		7.10	0.083
12.5	13.0	2.14	0.20	-0.18		2.41	0.31	-0.27		1.93	0.29	-0.25		4.80	0.070
13.0	13.5	1.47	0.17	-0.15		1.48	0.25	-0.21		1.47	0.25	-0.21		3.11	0.059
13.5	14.5	1.59	0.17	-0.15		1.54	0.25	-0.21		1.63	0.25	-0.22		3.18	0.088
14.5	15.5	0.469	0.102	-0.082	0.486	0.151	-0.112	0.493	0.161	-0.121	1.117	0.056
15.5	19.5	0.186	0.072	-0.051	0.150	0.108	-0.065	0.203	0.113	-0.071	0.464	0.064
