#Predicted spectra of Enu detectable by SNO after including all effects but neutrino oscillations.
#The number of events are for three phases combined and assumes B8 flux of 5.69e6 /cm^2 s.
#From Table XXIII, PHYSICAL REVIEW C 88, 025501 (2013).
#Enu indicates the low boundary.
# Enu [MeV]   CC day   CC night   ES_eday   ES_enight   ES_mtday   ES_mtnight
	11.9			  133.7		 166.4		  10.3		  12.7			  1.7			   2.0
	12.0			  127.0		 158.4		  9.7			  12.1			  1.5			   1.9
	12.1			  121.2		 149.8		  8.9			  11.5			  1.5			   1.8
	12.2			  114.0		 141.5		  8.5			  10.6			  1.4			   1.7
	12.3			  107.1		 133.2		  8.0			  9.8				  1.3			   1.6
	12.4			  100.3		 124.8		  7.4			  9.2				  1.2			   1.5
	12.5			  93.3		 116.6		  6.8			  8.6				  1.1			   1.4
	12.6			  87.0		 108.3		  6.3			  7.8				  1.0			   1.3
	12.7			  80.7		 99.6			  5.9			  7.1				  0.9			   1.1
	12.8			  73.3		 91.6			  5.2			  6.5				  0.8			   1.0
	12.9			  66.9		 83.0			  4.7			  5.8				  0.8			   0.9
	13.0			  60.3		 75.0			  4.3			  5.3				  0.7			   0.8
	13.1			  54.3		 67.3			  3.8			  4.7				  0.6			   0.8
	13.2			  48.2		 59.9			  3.3			  4.2				  0.5			   0.7
	13.3			  42.4		 52.5			  2.9			  3.7				  0.5			   0.6
	13.4			  36.9		 45.8			  2.5			  3.1				  0.4			   0.5
	13.5			  31.5		 39.6			  2.1			  2.7				  0.3			   0.4
	13.6			  27.0		 33.3			  1.8			  2.2				  0.3			   0.4
	13.7			  22.6		 27.9			  1.5			  1.9				  0.3			   0.3
	13.8			  18.7		 23.3			  1.2			  1.5				  0.2			   0.2
	13.9			  15.2		 19.1			  1.0			  1.2				  0.2			   0.2
	14.0			  12.2		 15.2			  0.8			  1.0				  0.1			   0.2
	14.1			  9.5			 12.0			  0.6			  0.8				  0.1			   0.1
	14.2			  7.4			 9.2			  0.5			  0.6				  0.1			   0.1
	14.3			  5.7			 7.0			  0.3			  0.4				  0.1			   0.1
	14.4			  4.4			 5.2			  0.3			  0.3				  0.0			   0.1
	14.5			  3.2			 4.0			  0.2			  0.2				  0.0			   0.0
	14.6			  2.4			 3.1			  0.2			  0.2				  0.0			   0.0
	14.7			  1.8			 2.1			  0.1			  0.1				  0.0			   0.0
	14.8			  1.3			 1.5			  0.1			  0.1				  0.0			   0.0
	14.9			  0.9			 1.1			  0.1			  0.1				  0.0			   0.0
	15.0			  0.7			 0.8			  0.0			  0.1				  0.0			   0.0
	15.1			  0.4			 0.6			  0.0			  0.0				  0.0			   0.0
	15.2			  0.2			 0.3			  0.0			  0.0				  0.0			   0.0
