#Observed and expected event rates in each zenith-spectra data set at 1AU. Unit:events/kton/year
#The errors are statistical only.
#Expected event rates are 5.79e6 for B8 and 7.88e3 for hep. Unit:/cm^2/sec
#
#Energy[MeV]                   															Observed rate     																								           			   Expected rate
#             Day     				Mantle1     		Mantle2        	Mantle3      		Mantle4        	Mantle5     		Core       											B8    					hep
#cos(theta_z) <0      				0~0.16      		0.16~0.33     	0.33~0.50     	0.50~0.67      	0.67~0.84   		0.84~1    
4.5		5.0			79.4	5.1	-5.0	75.5 13.4 -12.2	74.5 12.1 -11.1	91.6 10.9	-10.2	80.3 10.6	-9.9	85.1 11.1	-10.3	86.9	11.4	-10.6								167.8						0.323
5.0		6.0			124.2	3.8	-3.7	116.8	9.5	-9.0	127.0	8.9	-8.5	123.9	8.0	-7.6	126.7	7.7	-7.4	133.9	8.4	-8.1	112.3	8.5		-8.1								283.6						0.611
6.0		7.5			139.5	3.3	-3.2	134.2	8.6	-8.2	133.3	8.1	-7.7	155.7	7.5	-7.2	148.5	7.1	-6.9	136.1	7.5	-7.2	153.0	8.3		-7.9								321.4						0.799
7.5		9.0			93.5	2.7	-2.7	89.3	7.1	-6.6	90.5	6.7	-6.3	88.6	5.9	-5.6	94.0	5.8	-5.6	88.1	6.2	-5.9	102.2	7.2		-6.8								196.6						0.647
9.0		11.0		52.0	1.8	-1.8	55.7	5.1	-4.7	57.8	4.7	-4.4	47.7	4.0	-3.7	54.4	4.0	-3.7	56.4	4.4	-4.1	65.5	5.1		-4.8								122.2						0.619
11.0	13.0		15.5	0.9	-0.9	17.4	2.6	-2.2	17.3	2.5	-2.1	15.3	2.0	-1.8	14.9	2.0	-1.7	15.2	2.2	-1.9	17.7	2.5		-2.2								36.0						0.365
13.0	15.5		3.83 0.46	-0.40	5.69 1.54 -1.18	2.53 1.07 -0.73	2.49 0.91	-0.65	4.19 1.03 -0.80	3.84 1.15	-0.86	4.48	1.33	-1.01								7.45						0.204
